"SITE_ID","SPP_CODE","TOTAL_COUNT","OBSERVED_RICH","EXPECTED_RICH","AREA_sqkm","CONN_CLASS","STATE","TYPE"
"12120716","GOLDEN_REDHORSE",14,16,33.858,0.31393584,"MID_stream","MI","stream"
"12120716","SHORTHEAD_REDHORSE",6,16,33.858,0.31393584,"MID_stream","MI","stream"
"12120716","RAINBOW_TROUT",3,16,33.858,0.31393584,"MID_stream","MI","stream"
"12120716","CHINOOK_SALMON",1,16,33.858,0.31393584,"MID_stream","MI","stream"
"12120716","LOGPERCH",11,16,33.858,0.31393584,"MID_stream","MI","stream"
"12120716","BLUNTNOSE_MINNOW",1,16,33.858,0.31393584,"MID_stream","MI","stream"
"12120716","BROWN_TROUT",1,16,33.858,0.31393584,"MID_stream","MI","stream"
"12121834","ROCK_BASS",20,17,29.406,0.1100363,"MID_stream","MI","stream"
"12121834","BROWN_BULLHEAD",1,17,29.406,0.1100363,"MID_stream","MI","stream"
"12121834","BOWFIN",1,17,29.406,0.1100363,"MID_stream","MI","stream"
"12121834","WHITE_SUCKER",3,17,29.406,0.1100363,"MID_stream","MI","stream"
"12121834","SPOTFIN_SHINER",3,17,29.406,0.1100363,"MID_stream","MI","stream"
"12121834","COMMON_CARP",5,17,29.406,0.1100363,"MID_stream","MI","stream"
"12121834","NORTHERN_PIKE",5,17,29.406,0.1100363,"MID_stream","MI","stream"
"12121834","BURBOT",1,17,29.406,0.1100363,"MID_stream","MI","stream"
"12121834","SMALLMOUTH_BASS",3,17,29.406,0.1100363,"MID_stream","MI","stream"
"12121834","SILVER_REDHORSE",19,17,29.406,0.1100363,"MID_stream","MI","stream"
"12121834","GOLDEN_REDHORSE",35,17,29.406,0.1100363,"MID_stream","MI","stream"
"12121834","SHORTHEAD_REDHORSE",27,17,29.406,0.1100363,"MID_stream","MI","stream"
"12121834","CHINOOK_SALMON",2,17,29.406,0.1100363,"MID_stream","MI","stream"
"12121834","YELLOW_PERCH",1,17,29.406,0.1100363,"MID_stream","MI","stream"
"12121834","LOGPERCH",3,17,29.406,0.1100363,"MID_stream","MI","stream"
"12121834","BLUNTNOSE_MINNOW",1,17,29.406,0.1100363,"MID_stream","MI","stream"
"12121834","WALLEYE",3,17,29.406,0.1100363,"MID_stream","MI","stream"
"13039000","ROCK_BASS",74,21,22.995,0.08979604,"MID_stream","MI","stream"
"13039000","CENTRAL_STONEROLLER",27,21,22.995,0.08979604,"MID_stream","MI","stream"
"13039000","WHITE_SUCKER",12,21,22.995,0.08979604,"MID_stream","MI","stream"
"13039000","SPOTFIN_SHINER",25,21,22.995,0.08979604,"MID_stream","MI","stream"
"13039000","GREENSIDE_DARTER",5,21,22.995,0.08979604,"MID_stream","MI","stream"
"13039000","RAINBOW_DARTER",20,21,22.995,0.08979604,"MID_stream","MI","stream"
"13039000","JOHNNY_DARTER",4,21,22.995,0.08979604,"MID_stream","MI","stream"
"13039000","NORTHERN_HOG_SUCKER",22,21,22.995,0.08979604,"MID_stream","MI","stream"
"13039000","BLUEGILL",9,21,22.995,0.08979604,"MID_stream","MI","stream"
"13039000","COMMON_SHINER",13,21,22.995,0.08979604,"MID_stream","MI","stream"
"13039000","SMALLMOUTH_BASS",35,21,22.995,0.08979604,"MID_stream","MI","stream"
"13039000","EMERALD_SHINER",19,21,22.995,0.08979604,"MID_stream","MI","stream"
"13039000","BLACKNOSE_SHINER",2,21,22.995,0.08979604,"MID_stream","MI","stream"
"13039000","ROSYFACE_SHINER",7,21,22.995,0.08979604,"MID_stream","MI","stream"
"13039000","MIMIC_SHINER",17,21,22.995,0.08979604,"MID_stream","MI","stream"
"13039000","STONECAT",7,21,22.995,0.08979604,"MID_stream","MI","stream"
